Task Number,Task,Fitness Scores
28,137f0df0.json,"(np.float64(2.0), np.float64(64.0), np.float64(2.0), np.float64(0.0))"
29,140c817e.json,"(np.float64(4.0), np.float64(118.0), np.float64(4.0), np.float64(2.0))"
30,14754a24.json,"(np.float64(2.0), np.float64(96.0), np.float64(6.0), np.float64(6.0))"
31,15113be4.json,"(np.float64(2.0), np.float64(217.0), np.float64(0.0), np.float64(0.0))"
32,15663ba9.json,"(np.float64(2.0), np.float64(92.0), np.float64(2.0), np.float64(2.0))"
33,15696249.json,"(np.float64(2.0), np.float64(24.0), np.float64(7.0), np.float64(6.0))"
34,16b78196.json,"(np.float64(5.0), np.float64(206.0), np.float64(25.0), np.float64(27.0))"
35,17b80ad2.json,"(np.float64(2.0), np.float64(8.0), np.float64(6.0), np.float64(6.0))"
36,17cae0c1.json,"(np.float64(5.0), np.float64(15.0), np.float64(1.0), np.float64(0.0))"
37,18419cfa.json,"(np.float64(1.0), np.float64(65.0), np.float64(11.0), np.float64(21.0))"
38,184a9768.json,"(np.float64(4.0), np.float64(69.0), np.float64(11.0), np.float64(8.0))"
39,195ba7dc.json,"(np.float64(3.0), np.float64(20.0), np.float64(5.0), np.float64(0.0))"
40,1990f7a8.json,"(np.float64(0.0), np.float64(30.0), np.float64(5.0), np.float64(7.0))"
41,19bb5feb.json,"(np.float64(3.0), np.float64(1.0), np.float64(0.0), np.float64(0.0))"
42,1a2e2828.json,"(np.float64(3.0), np.float64(1.0), np.float64(0.0), np.float64(2.0))"
43,1a6449f1.json,"(np.float64(5.0), np.float64(33.0), np.float64(11.0), np.float64(8.0))"
44,1acc24af.json,"(np.float64(2.0), np.float64(54.0), np.float64(0.0), np.float64(9.0))"
45,1c02dbbe.json,"(np.float64(3.0), np.float64(159.0), np.float64(9.0), np.float64(10.0))"
46,1c0d0a4b.json,"(np.float64(2.0), np.float64(30.0), np.float64(2.0), np.float64(2.0))"
47,1c56ad9f.json,"(np.float64(0.0), np.float64(70.0), np.float64(10.0), np.float64(3.0))"
48,1d0a4b61.json,"(np.float64(3.0), np.float64(249.0), np.float64(0.0), np.float64(0.0))"
49,1d398264.json,"(np.float64(5.0), np.float64(66.0), np.float64(18.0), np.float64(19.0))"
50,1da012fc.json,"(np.float64(6.0), np.float64(72.0), np.float64(9.0), np.float64(3.0))"
51,1e81d6f9.json,"(np.float64(7.0), np.float64(39.0), np.float64(1.0), np.float64(6.0))"
52,1e97544e.json,"(np.float64(8.0), np.float64(471.0), np.float64(5.0), np.float64(0.0))"
53,2037f2c7.json,"(np.float64(2.0), np.float64(12.0), np.float64(11.0), np.float64(9.0))"
54,2072aba6.json,"(np.float64(3.0), np.float64(23.0), np.float64(3.0), np.float64(3.0))"
55,20818e16.json,"(np.float64(3.0), np.float64(52.0), np.float64(4.0), np.float64(5.0))"
56,20981f0e.json,"(np.float64(1.0), np.float64(44.0), np.float64(2.0), np.float64(4.0))"
57,212895b5.json,"(np.float64(3.0), np.float64(94.0), np.float64(1.0), np.float64(0.0))"
58,21f83797.json,"(np.float64(1.0), np.float64(69.0), np.float64(4.0), np.float64(8.0))"
59,22a4bbc2.json,"(np.float64(2.0), np.float64(23.0), np.float64(0.0), np.float64(0.0))"
60,25094a63.json,"(np.float64(6.0), np.float64(805.0), np.float64(1.0), np.float64(0.0))"
61,2546ccf6.json,"(np.float64(2.0), np.float64(140.0), np.float64(11.0), np.float64(12.0))"
62,256b0a75.json,"(np.float64(7.0), np.float64(334.0), np.float64(6.0), np.float64(3.0))"
63,2685904e.json,"(np.float64(4.0), np.float64(29.0), np.float64(0.0), np.float64(9.0))"
64,2697da3f.json,"(np.float64(0.0), np.float64(70.0), np.float64(10.0), np.float64(10.0))"
65,2753e76c.json,"(np.float64(3.0), np.float64(57.0), np.float64(11.0), np.float64(10.0))"
66,27a77e38.json,"(np.float64(7.0), np.float64(24.0), np.float64(0.0), np.float64(4.0))"
67,27f8ce4f.json,"(np.float64(4.0), np.float64(29.0), np.float64(6.0), np.float64(7.0))"
68,281123b4.json,"(np.float64(5.0), np.float64(18.0), np.float64(7.0), np.float64(0.0))"
69,292dd178.json,"(np.float64(3.0), np.float64(77.0), np.float64(4.0), np.float64(1.0))"
70,29700607.json,"(np.float64(2.0), np.float64(34.0), np.float64(5.0), np.float64(6.0))"
71,2a5f8217.json,"(np.float64(5.0), np.float64(15.0), np.float64(2.0), np.float64(1.0))"
72,2b01abd0.json,"(np.float64(3.0), np.float64(42.0), np.float64(0.0), np.float64(13.0))"
73,2c0b0aff.json,"(np.float64(2.0), np.float64(115.0), np.float64(7.0), np.float64(9.0))"
74,2c737e39.json,"(np.float64(3.0), np.float64(16.0), np.float64(8.0), np.float64(7.0))"
75,2f0c5170.json,"(np.float64(1.0), np.float64(13.0), np.float64(1.0), np.float64(1.0))"
76,310f3251.json,"(np.float64(2.0), np.float64(19.0), np.float64(11.0), np.float64(11.0))"
77,3194b014.json,"(np.float64(3.0), np.float64(92.0), np.float64(17.0), np.float64(17.0))"
78,319f2597.json,"(np.float64(8.0), np.float64(317.0), np.float64(0.0), np.float64(0.0))"
79,31adaf00.json,"(np.float64(1.0), np.float64(30.0), np.float64(0.0), np.float64(0.0))"
80,31d5ba1a.json,"(np.float64(2.0), np.float64(5.0), np.float64(0.0), np.float64(0.0))"
81,32e9702f.json,"(np.float64(2.0), np.float64(37.0), np.float64(1.0), np.float64(2.0))"
82,332efdb3.json,"(np.float64(1500.0), np.float64(1500.0), np.float64(1500.0), np.float64(1500.0))"
83,3391f8c0.json,"(np.float64(1.0), np.float64(18.0), np.float64(5.0), np.float64(3.0))"
84,33b52de3.json,"(np.float64(2.0), np.float64(135.0), np.float64(19.0), np.float64(19.0))"
85,3490cc26.json,"(np.float64(3.0), np.float64(126.0), np.float64(23.0), np.float64(24.0))"
86,34b99a2b.json,"(np.float64(3.0), np.float64(14.0), np.float64(3.0), np.float64(0.0))"
87,351d6448.json,"(np.float64(0.0), np.float64(30.0), np.float64(5.0), np.float64(10.0))"
88,358ba94e.json,"(np.float64(0.0), np.float64(116.0), np.float64(13.0), np.float64(10.0))"
89,37d3e8b2.json,"(np.float64(3.0), np.float64(130.0), np.float64(1.0), np.float64(1.0))"
90,3979b1a8.json,"(np.float64(3.0), np.float64(96.0), np.float64(5.0), np.float64(5.0))"
91,3a301edc.json,"(np.float64(1.0), np.float64(31.0), np.float64(8.0), np.float64(9.0))"
92,3b4c2228.json,"(np.float64(2.0), np.float64(9.0), np.float64(0.0), np.float64(2.0))"
93,3d31c5b3.json,"(np.float64(4.0), np.float64(8.0), np.float64(1.0), np.float64(0.0))"
94,3ed85e70.json,"(np.float64(5.0), np.float64(268.0), np.float64(5.0), np.float64(10.0))"
95,3ee1011a.json,"(np.float64(3.0), np.float64(58.0), np.float64(2.0), np.float64(7.0))"
96,3f23242b.json,"(np.float64(4.0), np.float64(24.0), np.float64(9.0), np.float64(9.0))"
97,40f6cd08.json,"(np.float64(3.0), np.float64(360.0), np.float64(25.0), np.float64(27.0))"
98,414297c0.json,"(np.float64(5.0), np.float64(72.0), np.float64(4.0), np.float64(2.0))"
99,423a55dc.json,"(np.float64(1.0), np.float64(6.0), np.float64(4.0), np.float64(5.0))"
100,42918530.json,"(np.float64(3.0), np.float64(192.0), np.float64(14.0), np.float64(8.0))"
101,42a15761.json,"(np.float64(0.0), np.float64(6.0), np.float64(0.0), np.float64(0.0))"
102,4364c1c4.json,"(np.float64(4.0), np.float64(153.0), np.float64(10.0), np.float64(11.0))"
103,456873bc.json,"(np.float64(1.0), np.float64(5.0), np.float64(4.0), np.float64(0.0))"
104,45737921.json,"(np.float64(6.0), np.float64(42.0), np.float64(7.0), np.float64(4.0))"
105,45bbe264.json,"(np.float64(4.0), np.float64(70.0), np.float64(12.0), np.float64(12.0))"
106,477d2879.json,"(np.float64(8.0), np.float64(124.0), np.float64(1.0), np.float64(0.0))"
107,47996f11.json,"(np.float64(8.0), np.float64(800.0), np.float64(1.0), np.float64(1.0))"
108,48131b3c.json,"(np.float64(0.0), np.float64(46.0), np.float64(4.0), np.float64(4.0))"
109,4852f2fa.json,"(np.float64(2.0), np.float64(24.0), np.float64(6.0), np.float64(5.0))"
110,48f8583b.json,"(np.float64(1.0), np.float64(21.0), np.float64(6.0), np.float64(6.0))"
111,4aab4007.json,"(np.float64(9.0), np.float64(620.0), np.float64(0.0), np.float64(0.0))"
112,4acc7107.json,"(np.float64(1.0), np.float64(31.0), np.float64(1.0), np.float64(2.0))"
113,4b6b68e5.json,"(np.float64(3.0), np.float64(117.0), np.float64(11.0), np.float64(10.0))"
114,4c177718.json,"(np.float64(1.0), np.float64(19.0), np.float64(6.0), np.float64(2.0))"
115,4cd1b7b2.json,"(np.float64(4.0), np.float64(13.0), np.float64(0.0), np.float64(0.0))"
116,4e45f183.json,"(np.float64(1.0), np.float64(225.0), np.float64(2.0), np.float64(2.0))"
117,4e469f39.json,"(np.float64(1.0), np.float64(42.0), np.float64(2.0), np.float64(2.0))"
118,4f537728.json,"(np.float64(1.0), np.float64(4.0), np.float64(1.0), np.float64(1.0))"
119,4ff4c9da.json,"(np.float64(2.0), np.float64(77.0), np.float64(0.0), np.float64(0.0))"
120,505fff84.json,"(np.float64(3.0), np.float64(8.0), np.float64(5.0), np.float64(0.0))"
121,506d28a5.json,"(np.float64(2.0), np.float64(6.0), np.float64(0.0), np.float64(0.0))"
122,50a16a69.json,"(np.float64(3.0), np.float64(61.0), np.float64(2.0), np.float64(1.0))"
123,50aad11f.json,"(np.float64(3.0), np.float64(27.0), np.float64(11.0), np.float64(3.0))"
124,50f325b5.json,"(np.float64(4.0), np.float64(154.0), np.float64(0.0), np.float64(0.0))"
125,516b51b7.json,"(np.float64(2.0), np.float64(74.0), np.float64(5.0), np.float64(1.0))"
126,5207a7b5.json,"(np.float64(3.0), np.float64(56.0), np.float64(7.0), np.float64(7.0))"
127,5289ad53.json,"(np.float64(2.0), np.float64(18.0), np.float64(10.0), np.float64(8.0))"
128,52fd389e.json,"(np.float64(3.0), np.float64(325.0), np.float64(24.0), np.float64(24.0))"
129,54db823b.json,"(np.float64(1.0), np.float64(73.0), np.float64(0.0), np.float64(3.0))"
130,55059096.json,"(np.float64(1.0), np.float64(34.0), np.float64(3.0), np.float64(2.0))"
131,551d5bf1.json,"(np.float64(1.0), np.float64(213.0), np.float64(3.0), np.float64(3.0))"
132,55783887.json,"(np.float64(3.0), np.float64(236.0), np.float64(5.0), np.float64(2.0))"
133,575b1a71.json,"(np.float64(5.0), np.float64(8.0), np.float64(0.0), np.float64(0.0))"
134,5783df64.json,"(np.float64(8.0), np.float64(8.0), np.float64(2.0), np.float64(2.0))"
135,5833af48.json,"(np.float64(4.0), np.float64(50.0), np.float64(6.0), np.float64(4.0))"
136,58743b76.json,"(np.float64(5.0), np.float64(56.0), np.float64(11.0), np.float64(11.0))"
137,58e15b12.json,"(np.float64(2.0), np.float64(80.0), np.float64(14.0), np.float64(20.0))"
138,59341089.json,"(np.float64(3.0), np.float64(33.0), np.float64(9.0), np.float64(1.0))"
139,5a5a2103.json,"(np.float64(5.0), np.float64(201.0), np.float64(17.0), np.float64(17.0))"
140,5af49b42.json,"(np.float64(6.0), np.float64(23.0), np.float64(10.0), np.float64(2.0))"
141,5b526a93.json,"(np.float64(1.0), np.float64(120.0), np.float64(2.0), np.float64(3.0))"
142,5b692c0f.json,"(np.float64(1.0), np.float64(57.0), np.float64(5.0), np.float64(5.0))"
143,5b6cbef5.json,"(np.float64(0.0), np.float64(90.0), np.float64(12.0), np.float64(12.0))"
144,5d2a5c43.json,"(np.float64(3.0), np.float64(18.0), np.float64(3.0), np.float64(0.0))"
145,5ffb2104.json,"(np.float64(3.0), np.float64(12.0), np.float64(4.0), np.float64(4.0))"
146,604001fa.json,"(np.float64(3.0), np.float64(30.0), np.float64(3.0), np.float64(3.0))"
147,60a26a3e.json,"(np.float64(1.0), np.float64(44.0), np.float64(5.0), np.float64(1.0))"
148,60c09cac.json,"(np.float64(1.0), np.float64(23.0), np.float64(6.0), np.float64(6.0))"
149,626c0bcc.json,"(np.float64(5.0), np.float64(0.0), np.float64(3.0), np.float64(3.0))"
150,62ab2642.json,"(np.float64(2.0), np.float64(27.0), np.float64(0.0), np.float64(0.0))"
151,62b74c02.json,"(np.float64(3.0), np.float64(36.0), np.float64(10.0), np.float64(0.0))"
152,639f5a19.json,"(np.float64(6.0), np.float64(80.0), np.float64(7.0), np.float64(2.0))"
153,642248e4.json,"(np.float64(2.0), np.float64(36.0), np.float64(5.0), np.float64(2.0))"
154,642d658d.json,"(np.float64(3.0), np.float64(5.0), np.float64(2.0), np.float64(2.0))"
155,64a7c07e.json,"(np.float64(0.0), np.float64(32.0), np.float64(7.0), np.float64(3.0))"
156,66e6c45b.json,"(np.float64(4.0), np.float64(3.0), np.float64(3.0), np.float64(3.0))"
157,66f2d22f.json,"(np.float64(2.0), np.float64(19.0), np.float64(0.0), np.float64(0.0))"
158,67636eac.json,"(np.float64(1.0), np.float64(5.0), np.float64(0.0), np.float64(3.0))"
159,67b4a34d.json,"(np.float64(5.0), np.float64(66.0), np.float64(12.0), np.float64(12.0))"
160,67c52801.json,"(np.float64(3.0), np.float64(48.0), np.float64(0.0), np.float64(7.0))"
161,68b67ca3.json,"(np.float64(3.0), np.float64(3.0), np.float64(2.0), np.float64(2.0))"
162,692cd3b6.json,"(np.float64(2.0), np.float64(126.0), np.float64(4.0), np.float64(1.0))"
163,695367ec.json,"(np.float64(1.0), np.float64(97.0), np.float64(11.0), np.float64(11.0))"
164,696d4842.json,"(np.float64(3.0), np.float64(47.0), np.float64(11.0), np.float64(15.0))"
165,69889d6e.json,"(np.float64(1.0), np.float64(23.0), np.float64(5.0), np.float64(7.0))"
166,6a11f6da.json,"(np.float64(2.0), np.float64(8.0), np.float64(0.0), np.float64(0.0))"
167,6ad5bdfd.json,"(np.float64(6.0), np.float64(20.0), np.float64(9.0), np.float64(0.0))"
168,6df30ad6.json,"(np.float64(1.0), np.float64(7.0), np.float64(9.0), np.float64(9.0))"
169,6ea4a07e.json,"(np.float64(2.0), np.float64(9.0), np.float64(0.0), np.float64(0.0))"
170,6f473927.json,"(np.float64(1.0), np.float64(8.0), np.float64(4.0), np.float64(0.0))"
171,7039b2d7.json,"(np.float64(1.0), np.float64(61.0), np.float64(6.0), np.float64(8.0))"
172,705a3229.json,"(np.float64(1.0), np.float64(9.0), np.float64(7.0), np.float64(10.0))"
173,712bf12e.json,"(np.float64(1.0), np.float64(94.0), np.float64(8.0), np.float64(12.0))"
174,72207abc.json,"(np.float64(2.0), np.float64(7.0), np.float64(18.0), np.float64(2.0))"
175,72a961c9.json,"(np.float64(2.0), np.float64(25.0), np.float64(0.0), np.float64(8.0))"
176,73182012.json,"(np.float64(3.0), np.float64(20.0), np.float64(2.0), np.float64(2.0))"
177,73c3b0d8.json,"(np.float64(2.0), np.float64(7.0), np.float64(0.0), np.float64(5.0))"
178,73ccf9c2.json,"(np.float64(0.0), np.float64(55.0), np.float64(11.0), np.float64(10.0))"
179,759f3fd3.json,"(np.float64(1.0), np.float64(41.0), np.float64(0.0), np.float64(0.0))"
180,762cd429.json,"(np.float64(4.0), np.float64(341.0), np.float64(29.0), np.float64(15.0))"
181,770cc55f.json,"(np.float64(3.0), np.float64(25.0), np.float64(0.0), np.float64(12.0))"
182,782b5218.json,"(np.float64(1.0), np.float64(46.0), np.float64(1.0), np.float64(1.0))"
183,79369cc6.json,"(np.float64(3.0), np.float64(104.0), np.float64(0.0), np.float64(0.0))"
184,7953d61e.json,"(np.float64(4.0), np.float64(59.0), np.float64(4.0), np.float64(4.0))"
185,79fb03f4.json,"(np.float64(2.0), np.float64(20.0), np.float64(6.0), np.float64(6.0))"
186,7bb29440.json,"(np.float64(2.0), np.float64(124.0), np.float64(10.0), np.float64(13.0))"
187,7c8af763.json,"(np.float64(3.0), np.float64(91.0), np.float64(0.0), np.float64(0.0))"
188,7c9b52a0.json,"(np.float64(1.0), np.float64(4.0), np.float64(2.0), np.float64(1.0))"
189,7d18a6fb.json,"(np.float64(5.0), np.float64(31.0), np.float64(0.0), np.float64(0.0))"
190,7d1f7ee8.json,"(np.float64(0.0), np.float64(116.0), np.float64(3.0), np.float64(2.0))"
191,7d419a02.json,"(np.float64(3.0), np.float64(187.0), np.float64(20.0), np.float64(14.0))"
192,7e02026e.json,"(np.float64(1.0), np.float64(21.0), np.float64(0.0), np.float64(0.0))"
193,7ee1c6ea.json,"(np.float64(2.0), np.float64(63.0), np.float64(0.0), np.float64(0.0))"
194,817e6c09.json,"(np.float64(1.0), np.float64(8.0), np.float64(0.0), np.float64(2.0))"
195,81c0276b.json,"(np.float64(2.0), np.float64(9.0), np.float64(3.0), np.float64(1.0))"
196,833dafe3.json,"(np.float64(2.0), np.float64(38.0), np.float64(5.0), np.float64(5.0))"
197,845d6e51.json,"(np.float64(2.0), np.float64(31.0), np.float64(8.0), np.float64(7.0))"
198,84db8fc4.json,"(np.float64(4.0), np.float64(69.0), np.float64(0.0), np.float64(0.0))"
199,84f2aca1.json,"(np.float64(4.0), np.float64(66.0), np.float64(5.0), np.float64(9.0))"
200,8597cfd7.json,"(np.float64(1.0), np.float64(6.0), np.float64(1.0), np.float64(8.0))"
201,85b81ff1.json,"(np.float64(0.0), np.float64(16.0), np.float64(0.0), np.float64(0.0))"
202,85fa5666.json,"(np.float64(4.0), np.float64(17.0), np.float64(3.0), np.float64(2.0))"
203,8719f442.json,"(np.float64(0.0), np.float64(42.0), np.float64(12.0), np.float64(12.0))"
204,88207623.json,"(np.float64(3.0), np.float64(66.0), np.float64(14.0), np.float64(2.0))"
205,891232d6.json,"(np.float64(6.0), np.float64(25.0), np.float64(9.0), np.float64(16.0))"
206,896d5239.json,"(np.float64(2.0), np.float64(19.0), np.float64(0.0), np.float64(0.0))"
207,8a371977.json,"(np.float64(3.0), np.float64(324.0), np.float64(0.0), np.float64(0.0))"
208,8b28cd80.json,"(np.float64(1.0), np.float64(44.0), np.float64(8.0), np.float64(8.0))"
209,8ba14f53.json,"(np.float64(1.0), np.float64(7.0), np.float64(0.0), np.float64(1.0))"
210,8cb8642d.json,"(np.float64(3.0), np.float64(120.0), np.float64(11.0), np.float64(10.0))"
211,8dae5dfc.json,"(np.float64(4.0), np.float64(135.0), np.float64(10.0), np.float64(2.0))"
212,8e2edd66.json,"(np.float64(0.0), np.float64(15.0), np.float64(6.0), np.float64(6.0))"
213,8ee62060.json,"(np.float64(1.0), np.float64(21.0), np.float64(0.0), np.float64(0.0))"
214,8fbca751.json,"(np.float64(1.0), np.float64(14.0), np.float64(3.0), np.float64(3.0))"
215,90347967.json,"(np.float64(4.0), np.float64(8.0), np.float64(7.0), np.float64(8.0))"
216,903d1b4a.json,"(np.float64(6.0), np.float64(183.0), np.float64(0.0), np.float64(0.0))"
217,9110e3c5.json,"(np.float64(3.0), np.float64(4.0), np.float64(2.0), np.float64(2.0))"
218,917bccba.json,"(np.float64(1.0), np.float64(40.0), np.float64(7.0), np.float64(7.0))"
219,929ab4e9.json,"(np.float64(8.0), np.float64(550.0), np.float64(2.0), np.float64(2.0))"
220,92e50de0.json,"(np.float64(1.0), np.float64(320.0), np.float64(22.0), np.float64(22.0))"
221,9356391f.json,"(np.float64(4.0), np.float64(97.0), np.float64(10.0), np.float64(4.0))"
222,93b4f4b3.json,"(np.float64(4.0), np.float64(72.0), np.float64(3.0), np.float64(10.0))"
223,93c31fbe.json,"(np.float64(1.0), np.float64(61.0), np.float64(3.0), np.float64(3.0))"
224,94133066.json,"(np.float64(5.0), np.float64(17.0), np.float64(0.0), np.float64(0.0))"
225,94414823.json,"(np.float64(3.0), np.float64(39.0), np.float64(9.0), np.float64(9.0))"
226,94be5b80.json,"(np.float64(3.0), np.float64(45.0), np.float64(6.0), np.float64(5.0))"
227,95a58926.json,"(np.float64(1.0), np.float64(227.0), np.float64(0.0), np.float64(0.0))"
228,963f59bc.json,"(np.float64(2.0), np.float64(22.0), np.float64(10.0), np.float64(10.0))"
229,96a8c0cd.json,"(np.float64(3.0), np.float64(44.0), np.float64(18.0), np.float64(10.0))"
230,97239e3d.json,"(np.float64(2.0), np.float64(182.0), np.float64(6.0), np.float64(12.0))"
231,9772c176.json,"(np.float64(1.0), np.float64(129.0), np.float64(7.0), np.float64(4.0))"
232,981571dc.json,"(np.float64(9.0), np.float64(876.0), np.float64(6.0), np.float64(6.0))"
233,992798f6.json,"(np.float64(3.0), np.float64(14.0), np.float64(15.0), np.float64(15.0))"
234,99306f82.json,"(np.float64(4.0), np.float64(116.0), np.float64(5.0), np.float64(5.0))"
235,9a4bb226.json,"(np.float64(3.0), np.float64(5.0), np.float64(0.0), np.float64(0.0))"
236,9b2a60aa.json,"(np.float64(2.0), np.float64(38.0), np.float64(6.0), np.float64(19.0))"
237,9b365c51.json,"(np.float64(4.0), np.float64(33.0), np.float64(17.0), np.float64(0.0))"
238,9b4c17c4.json,"(np.float64(3.0), np.float64(93.0), np.float64(0.0), np.float64(8.0))"
239,9bebae7a.json,"(np.float64(0.0), np.float64(27.0), np.float64(7.0), np.float64(8.0))"
240,9c1e755f.json,"(np.float64(5.0), np.float64(72.0), np.float64(6.0), np.float64(9.0))"
241,9c56f360.json,"(np.float64(1.0), np.float64(38.0), np.float64(6.0), np.float64(2.0))"
242,9caba7c3.json,"(np.float64(3.0), np.float64(228.0), np.float64(4.0), np.float64(7.0))"
243,9ddd00f0.json,"(np.float64(0.0), np.float64(10.0), np.float64(0.0), np.float64(3.0))"
244,9def23fe.json,"(np.float64(2.0), np.float64(157.0), np.float64(11.0), np.float64(14.0))"
245,9f27f097.json,"(np.float64(3.0), np.float64(48.0), np.float64(0.0), np.float64(0.0))"
246,a04b2602.json,"(np.float64(2.0), np.float64(62.0), np.float64(3.0), np.float64(0.0))"
247,a096bf4d.json,"(np.float64(3.0), np.float64(146.0), np.float64(5.0), np.float64(15.0))"
248,a3f84088.json,"(np.float64(1.0), np.float64(243.0), np.float64(2.0), np.float64(2.0))"
249,a406ac07.json,"(np.float64(3.0), np.float64(40.0), np.float64(7.0), np.float64(7.0))"
250,a57f2f04.json,"(np.float64(2.0), np.float64(429.0), np.float64(16.0), np.float64(21.0))"
251,a59b95c0.json,"(np.float64(2.0), np.float64(80.0), np.float64(8.0), np.float64(8.0))"
252,a680ac02.json,"(np.float64(5.0), np.float64(28.0), np.float64(8.0), np.float64(0.0))"
253,a8610ef7.json,"(np.float64(3.0), np.float64(0.0), np.float64(0.0), np.float64(0.0))"
254,a934301b.json,"(np.float64(1.0), np.float64(37.0), np.float64(0.0), np.float64(0.0))"
255,aa18de87.json,"(np.float64(1.0), np.float64(9.0), np.float64(0.0), np.float64(0.0))"
256,aa300dc3.json,"(np.float64(1.0), np.float64(6.0), np.float64(0.0), np.float64(0.0))"
257,aa4ec2a5.json,"(np.float64(5.0), np.float64(266.0), np.float64(5.0), np.float64(7.0))"
258,aab50785.json,"(np.float64(5.0), np.float64(15.0), np.float64(12.0), np.float64(7.0))"
259,ac0c5833.json,"(np.float64(1.0), np.float64(42.0), np.float64(22.0), np.float64(22.0))"
260,ac2e8ecf.json,"(np.float64(3.0), np.float64(67.0), np.float64(8.0), np.float64(4.0))"
261,ac3e2b04.json,"(np.float64(2.0), np.float64(118.0), np.float64(0.0), np.float64(4.0))"
262,ac605cbb.json,"(np.float64(2.0), np.float64(8.0), np.float64(8.0), np.float64(8.0))"
263,ad7e01d0.json,"(np.float64(3.0), np.float64(191.0), np.float64(15.0), np.float64(15.0))"
264,ae58858e.json,"(np.float64(1.0), np.float64(24.0), np.float64(2.0), np.float64(1.0))"
265,aee291af.json,"(np.float64(4.0), np.float64(218.0), np.float64(13.0), np.float64(13.0))"
266,af22c60d.json,"(np.float64(5.0), np.float64(730.0), np.float64(1.0), np.float64(1.0))"
267,af24b4cc.json,"(np.float64(4.0), np.float64(7.0), np.float64(0.0), np.float64(1.0))"
268,b0722778.json,"(np.float64(6.0), np.float64(12.0), np.float64(3.0), np.float64(6.0))"
269,b0f4d537.json,"(np.float64(2.0), np.float64(18.0), np.float64(2.0), np.float64(6.0))"
270,b15fca0b.json,"(np.float64(2.0), np.float64(47.0), np.float64(2.0), np.float64(0.0))"
271,b1fc8b8e.json,"(np.float64(0.0), np.float64(16.0), np.float64(0.0), np.float64(1.0))"
272,b20f7c8b.json,"(np.float64(5.0), np.float64(185.0), np.float64(3.0), np.float64(7.0))"
273,b457fec5.json,"(np.float64(3.0), np.float64(85.0), np.float64(17.0), np.float64(13.0))"
274,b4a43f3b.json,"(np.float64(1.0), np.float64(42.0), np.float64(12.0), np.float64(14.0))"
275,b7999b51.json,"(np.float64(3.0), np.float64(6.0), np.float64(1.0), np.float64(3.0))"
276,b7cb93ac.json,"(np.float64(3.0), np.float64(6.0), np.float64(0.0), np.float64(0.0))"
