Task Number,Task,Fitness Score,Program,Primitives
16,0c786b71.json,"(np.float64(4.0), np.float64(48.0), np.float64(4.0), np.float64(5.0))",splitH_lifted >> negative_lifted,"negative_lifted, splitH_lifted"
17,0c9aba6e.json,"(np.float64(4.0), np.float64(45.0), np.float64(0.0), np.float64(7.0))",groupByColor_lifted >> negative_lifted >> union,"groupByColor_lifted, negative_lifted, union"
18,0d87d2a6.json,"(np.float64(1.0), np.float64(172.0), np.float64(0.0), np.float64(0.0))",negative_lifted,negative_lifted
19,0e671a1a.json,"(np.float64(5.0), np.float64(149.0), np.float64(0.0), np.float64(0.0))",groupByColor_lifted >> negative_lifted >> intersect,"groupByColor_lifted, intersect, negative_lifted"
20,0f63c0b9.json,"(np.float64(4.0), np.float64(133.0), np.float64(0.0), np.float64(0.0))",groupByColor_lifted >> negative_lifted >> intersect,"groupByColor_lifted, intersect, negative_lifted"
21,103eff5b.json,"(np.float64(5.0), np.float64(264.0), np.float64(0.0), np.float64(0.0))",negative_lifted,negative_lifted
22,11e1fe23.json,"(np.float64(5.0), np.float64(128.0), np.float64(0.0), np.float64(0.0))",groupByColor_lifted >> negative_lifted >> intersect,"groupByColor_lifted, intersect, negative_lifted"
23,12422b43.json,"(np.float64(5.0), np.float64(32.0), np.float64(0.0), np.float64(0.0))",groupByColor_lifted >> negative_lifted >> intersect,"groupByColor_lifted, intersect, negative_lifted"
24,12997ef3.json,"(np.float64(1.0), np.float64(112.0), np.float64(8.0), np.float64(5.0))",groupByColor_lifted >> sortByWeight >> negative_lifted,"groupByColor_lifted, negative_lifted, sortByWeight"
25,12eac192.json,"(np.float64(3.0), np.float64(7.0), np.float64(0.0), np.float64(2.0))",splitH_lifted >> negative_lifted,"negative_lifted, splitH_lifted"
26,136b0064.json,"(np.float64(6.0), np.float64(151.0), np.float64(8.0), np.float64(0.0))",groupByColor_lifted >> negative_lifted >> union,"groupByColor_lifted, negative_lifted, union"
27,13713586.json,"(np.float64(3.0), np.float64(170.0), np.float64(0.0), np.float64(13.0))",splitH_lifted >> splitH_lifted >> negative_lifted,"negative_lifted, splitH_lifted"
28,137f0df0.json,"(np.float64(3.0), np.float64(88.0), np.float64(0.0), np.float64(8.0))",splitH_lifted >> splitH_lifted >> intersect,"intersect, splitH_lifted"
29,140c817e.json,"(np.float64(5.0), np.float64(121.0), np.float64(0.0), np.float64(9.0))",splitH_lifted >> splitH_lifted >> negative_lifted,"negative_lifted, splitH_lifted"
30,14754a24.json,"(np.float64(4.0), np.float64(210.0), np.float64(0.0), np.float64(0.0))",groupByColor_lifted >> negative_lifted >> intersect,"groupByColor_lifted, intersect, negative_lifted"
31,15113be4.json,"(np.float64(2.0), np.float64(529.0), np.float64(0.0), np.float64(0.0))",negative_lifted,negative_lifted
32,15663ba9.json,"(np.float64(2.0), np.float64(224.0), np.float64(0.0), np.float64(0.0))",negative_lifted,negative_lifted
33,15696249.json,"(np.float64(3.0), np.float64(27.0), np.float64(6.0), np.float64(8.0))",negative_lifted >> splitH_lifted,"negative_lifted, splitH_lifted"
34,16b78196.json,"(np.float64(5.0), np.float64(841.0), np.float64(0.0), np.float64(0.0))",groupByColor_lifted >> negative_lifted >> reverse,"groupByColor_lifted, negative_lifted, reverse"
35,17b80ad2.json,"(np.float64(3.0), np.float64(44.0), np.float64(0.0), np.float64(0.0))",groupByColor_lifted >> negative_lifted >> intersect,"groupByColor_lifted, intersect, negative_lifted"
36,17cae0c1.json,"(np.float64(4.0), np.float64(24.0), np.float64(6.0), np.float64(2.0))",negative_lifted >> splitH_lifted >> cropToContent_lifted,"cropToContent_lifted, negative_lifted, splitH_lifted"
37,18419cfa.json,"(np.float64(3.0), np.float64(375.0), np.float64(0.0), np.float64(0.0))",groupByColor_lifted >> negative_lifted >> intersect,"groupByColor_lifted, intersect, negative_lifted"
38,184a9768.json,"(np.float64(4.0), np.float64(381.0), np.float64(0.0), np.float64(0.0))",groupByColor_lifted >> negative_lifted,"groupByColor_lifted, negative_lifted"
39,195ba7dc.json,"(np.float64(2.0), np.float64(45.0), np.float64(7.0), np.float64(0.0))",groupByColor_lifted >> tail >> negative_lifted,"groupByColor_lifted, negative_lifted, tail"
40,1990f7a8.json,"(np.float64(0.0), np.float64(238.0), np.float64(9.0), np.float64(10.0))",negative_lifted,negative_lifted
41,19bb5feb.json,"(np.float64(2.0), np.float64(217.0), np.float64(14.0), np.float64(12.0))",reverse >> groupByColor_lifted >> negative_lifted,"groupByColor_lifted, negative_lifted, reverse"
42,1a2e2828.json,"(np.float64(2.0), np.float64(8.0), np.float64(2.0), np.float64(2.0))",groupByColor_lifted >> intersect >> negative_lifted,"groupByColor_lifted, intersect, negative_lifted"
43,1a6449f1.json,"(np.float64(3.0), np.float64(446.0), np.float64(16.0), np.float64(18.0))",groupByColor_lifted >> sortByWeight >> negative_lifted,"groupByColor_lifted, negative_lifted, sortByWeight"
44,1acc24af.json,"(np.float64(2.0), np.float64(144.0), np.float64(0.0), np.float64(0.0))",negative_lifted,negative_lifted
45,1c02dbbe.json,"(np.float64(3.0), np.float64(222.0), np.float64(0.0), np.float64(0.0))",groupByColor_lifted >> negative_lifted >> sortByWeight,"groupByColor_lifted, negative_lifted, sortByWeight"
46,1c0d0a4b.json,"(np.float64(2.0), np.float64(45.0), np.float64(0.0), np.float64(0.0))",negative_lifted,negative_lifted
47,1c56ad9f.json,"(np.float64(0.0), np.float64(193.0), np.float64(0.0), np.float64(0.0))",negative_lifted,negative_lifted
48,1d0a4b61.json,"(np.float64(4.0), np.float64(625.0), np.float64(0.0), np.float64(13.0))",splitH_lifted >> union >> negative_lifted,"negative_lifted, splitH_lifted, union"
49,1d398264.json,"(np.float64(6.0), np.float64(345.0), np.float64(0.0), np.float64(0.0))",groupByColor_lifted >> negative_lifted >> intersect,"groupByColor_lifted, intersect, negative_lifted"
50,1da012fc.json,"(np.float64(6.0), np.float64(280.0), np.float64(0.0), np.float64(0.0))",groupByColor_lifted >> negative_lifted >> intersect,"groupByColor_lifted, intersect, negative_lifted"
51,1e81d6f9.json,"(np.float64(7.0), np.float64(220.0), np.float64(0.0), np.float64(0.0))",negative_lifted,negative_lifted
52,1e97544e.json,"(np.float64(9.0), np.float64(529.0), np.float64(0.0), np.float64(12.0))",groupByColor_lifted >> splitH_lifted >> intersect,"groupByColor_lifted, intersect, splitH_lifted"
53,2037f2c7.json,"(np.float64(2.0), np.float64(273.0), np.float64(11.0), np.float64(15.0))",cropToContent_lifted >> groupByColor_lifted >> negative_lifted,"cropToContent_lifted, groupByColor_lifted, negative_lifted"
54,2072aba6.json,"(np.float64(3.0), np.float64(22.0), np.float64(3.0), np.float64(5.0))",splitH_lifted >> reverse,"reverse, splitH_lifted"
55,20818e16.json,"(np.float64(1.0), np.float64(79.0), np.float64(7.0), np.float64(7.0))",sortByWeight,sortByWeight
56,20981f0e.json,"(np.float64(1.0), np.float64(154.0), np.float64(0.0), np.float64(0.0))",negative_lifted,negative_lifted
57,212895b5.json,"(np.float64(5.0), np.float64(273.0), np.float64(0.0), np.float64(0.0))",groupByColor_lifted >> negative_lifted >> intersect,"groupByColor_lifted, intersect, negative_lifted"
58,21f83797.json,"(np.float64(2.0), np.float64(96.0), np.float64(0.0), np.float64(10.0))",splitH_lifted >> negative_lifted >> splitH_lifted,"negative_lifted, splitH_lifted"
59,22a4bbc2.json,"(np.float64(2.0), np.float64(70.0), np.float64(0.0), np.float64(0.0))",negative_lifted,negative_lifted
60,25094a63.json,"(np.float64(7.0), np.float64(900.0), np.float64(0.0), np.float64(23.0))",negative_lifted >> splitH_lifted >> splitH_lifted,"negative_lifted, splitH_lifted"
61,2546ccf6.json,"(np.float64(2.0), np.float64(332.0), np.float64(0.0), np.float64(0.0))",negative_lifted,negative_lifted
62,256b0a75.json,"(np.float64(7.0), np.float64(375.0), np.float64(0.0), np.float64(18.0))",splitH_lifted >> splitH_lifted >> negative_lifted,"negative_lifted, splitH_lifted"
63,2685904e.json,"(np.float64(4.0), np.float64(98.0), np.float64(0.0), np.float64(0.0))",negative_lifted,negative_lifted
64,2697da3f.json,"(np.float64(0.0), np.float64(82.0), np.float64(7.0), np.float64(7.0))",negative_lifted,negative_lifted
65,2753e76c.json,"(np.float64(0.0), np.float64(107.0), np.float64(11.0), np.float64(12.0))",sortByColor,sortByColor
66,27a77e38.json,"(np.float64(7.0), np.float64(48.0), np.float64(0.0), np.float64(0.0))",negative_lifted,negative_lifted
67,27f8ce4f.json,"(np.float64(9.0), np.float64(36.0), np.float64(6.0), np.float64(6.0))",groupByColor_lifted >> negative_lifted >> union,"groupByColor_lifted, negative_lifted, union"
68,281123b4.json,"(np.float64(7.0), np.float64(62.0), np.float64(15.0), np.float64(0.0))",groupByColor_lifted >> negative_lifted >> union,"groupByColor_lifted, negative_lifted, union"
69,292dd178.json,"(np.float64(4.0), np.float64(99.0), np.float64(0.0), np.float64(9.0))",splitH_lifted >> splitH_lifted >> negative_lifted,"negative_lifted, splitH_lifted"
70,29700607.json,"(np.float64(4.0), np.float64(93.0), np.float64(0.0), np.float64(0.0))",groupByColor_lifted >> negative_lifted >> intersect,"groupByColor_lifted, intersect, negative_lifted"
71,2a5f8217.json,"(np.float64(5.0), np.float64(121.0), np.float64(0.0), np.float64(0.0))",groupByColor_lifted >> negative_lifted >> intersect,"groupByColor_lifted, intersect, negative_lifted"
72,2b01abd0.json,"(np.float64(2.0), np.float64(144.0), np.float64(0.0), np.float64(0.0))",negative_lifted,negative_lifted
73,2c0b0aff.json,"(np.float64(1.0), np.float64(101.0), np.float64(7.0), np.float64(0.0))",splitH_lifted >> cropToContent_lifted,"cropToContent_lifted, splitH_lifted"
74,2c737e39.json,"(np.float64(3.0), np.float64(83.0), np.float64(0.0), np.float64(0.0))",negative_lifted,negative_lifted
75,2f0c5170.json,"(np.float64(1.0), np.float64(331.0), np.float64(11.0), np.float64(11.0))",groupByColor_lifted >> negative_lifted >> tail,"groupByColor_lifted, negative_lifted, tail"
76,310f3251.json,"(np.float64(1.0), np.float64(31.0), np.float64(8.0), np.float64(8.0))",negative_lifted,negative_lifted
77,3194b014.json,"(np.float64(2.0), np.float64(391.0), np.float64(17.0), np.float64(17.0))",groupByColor_lifted >> negative_lifted >> union,"groupByColor_lifted, negative_lifted, union"
78,319f2597.json,"(np.float64(8.0), np.float64(337.0), np.float64(0.0), np.float64(15.0))",splitH_lifted >> splitH_lifted >> negative_lifted,"negative_lifted, splitH_lifted"
79,31adaf00.json,"(np.float64(1.0), np.float64(67.0), np.float64(1.0), np.float64(8.0))",splitH_lifted >> cropToContent_lifted >> splitH_lifted,"cropToContent_lifted, splitH_lifted"
80,31d5ba1a.json,"(np.float64(5.0), np.float64(23.0), np.float64(0.0), np.float64(3.0))",groupByColor_lifted >> negative_lifted >> union,"groupByColor_lifted, negative_lifted, union"
81,32e9702f.json,"(np.float64(3.0), np.float64(49.0), np.float64(0.0), np.float64(6.0))",splitH_lifted >> splitH_lifted >> intersect,"intersect, splitH_lifted"
82,332efdb3.json,"(np.float64(1.0), np.float64(65.0), np.float64(0.0), np.float64(8.0))",splitH_lifted >> splitH_lifted >> splitH_lifted,splitH_lifted
83,3391f8c0.json,"(np.float64(1.0), np.float64(100.0), np.float64(0.0), np.float64(0.0))",groupByColor_lifted >> negative_lifted >> union,"groupByColor_lifted, negative_lifted, union"
84,33b52de3.json,"(np.float64(2.0), np.float64(529.0), np.float64(0.0), np.float64(0.0))",negative_lifted,negative_lifted
85,3490cc26.json,"(np.float64(4.0), np.float64(572.0), np.float64(0.0), np.float64(0.0))",groupByColor_lifted >> negative_lifted >> intersect,"groupByColor_lifted, intersect, negative_lifted"
86,34b99a2b.json,"(np.float64(5.0), np.float64(32.0), np.float64(5.0), np.float64(0.0))",groupByColor_lifted >> negative_lifted >> union,"groupByColor_lifted, negative_lifted, union"
87,351d6448.json,"(np.float64(2.0), np.float64(185.0), np.float64(0.0), np.float64(12.0))",groupByColor_lifted >> negative_lifted >> union,"groupByColor_lifted, negative_lifted, union"
88,358ba94e.json,"(np.float64(0.0), np.float64(182.0), np.float64(14.0), np.float64(11.0))",negative_lifted,negative_lifted
89,37d3e8b2.json,"(np.float64(3.0), np.float64(272.0), np.float64(0.0), np.float64(0.0))",negative_lifted,negative_lifted
90,3979b1a8.json,"(np.float64(4.0), np.float64(100.0), np.float64(5.0), np.float64(9.0))",splitH_lifted >> splitH_lifted >> negative_lifted,"negative_lifted, splitH_lifted"
91,3a301edc.json,"(np.float64(1.0), np.float64(116.0), np.float64(0.0), np.float64(0.0))",negative_lifted,negative_lifted
92,3b4c2228.json,"(np.float64(3.0), np.float64(9.0), np.float64(2.0), np.float64(1.0))",splitH_lifted >> union,"splitH_lifted, union"
93,3d31c5b3.json,"(np.float64(4.0), np.float64(66.0), np.float64(0.0), np.float64(9.0))",groupByColor_lifted >> negative_lifted >> sortByWeight,"groupByColor_lifted, negative_lifted, sortByWeight"
94,3ed85e70.json,"(np.float64(5.0), np.float64(876.0), np.float64(0.0), np.float64(0.0))",negative_lifted,negative_lifted
95,3ee1011a.json,"(np.float64(1.0), np.float64(84.0), np.float64(12.0), np.float64(16.0))",tail,tail
96,3f23242b.json,"(np.float64(3.0), np.float64(78.0), np.float64(0.0), np.float64(0.0))",negative_lifted,negative_lifted
97,40f6cd08.json,"(np.float64(4.0), np.float64(900.0), np.float64(0.0), np.float64(0.0))",groupByColor_lifted >> negative_lifted >> intersect,"groupByColor_lifted, intersect, negative_lifted"
98,414297c0.json,"(np.float64(5.0), np.float64(96.0), np.float64(4.0), np.float64(0.0))",cropToContent_lifted >> splitH_lifted >> negative_lifted,"cropToContent_lifted, negative_lifted, splitH_lifted"
99,423a55dc.json,"(np.float64(0.0), np.float64(47.0), np.float64(0.0), np.float64(0.0))",negative_lifted,negative_lifted
100,42918530.json,"(np.float64(3.0), np.float64(344.0), np.float64(0.0), np.float64(0.0))",negative_lifted,negative_lifted
101,42a15761.json,"(np.float64(0.0), np.float64(129.0), np.float64(0.0), np.float64(0.0))",negative_lifted,negative_lifted
102,4364c1c4.json,"(np.float64(6.0), np.float64(156.0), np.float64(0.0), np.float64(9.0))",splitH_lifted >> splitH_lifted >> negative_lifted,"negative_lifted, splitH_lifted"
103,456873bc.json,"(np.float64(1.0), np.float64(116.0), np.float64(0.0), np.float64(0.0))",groupByColor_lifted >> negative_lifted,"groupByColor_lifted, negative_lifted"
104,45737921.json,"(np.float64(6.0), np.float64(144.0), np.float64(0.0), np.float64(0.0))",negative_lifted,negative_lifted
105,45bbe264.json,"(np.float64(5.0), np.float64(103.0), np.float64(0.0), np.float64(0.0))",groupByColor_lifted >> negative_lifted >> intersect,"groupByColor_lifted, intersect, negative_lifted"
106,477d2879.json,"(np.float64(7.0), np.float64(167.0), np.float64(0.0), np.float64(12.0))",splitH_lifted >> splitH_lifted >> splitH_lifted,splitH_lifted
107,47996f11.json,"(np.float64(9.0), np.float64(900.0), np.float64(0.0), np.float64(23.0))",splitH_lifted >> splitH_lifted >> negative_lifted,"negative_lifted, splitH_lifted"
108,48131b3c.json,"(np.float64(0.0), np.float64(46.0), np.float64(4.0), np.float64(4.0))",groupByColor_lifted,groupByColor_lifted
109,4852f2fa.json,"(np.float64(0.0), np.float64(76.0), np.float64(3.0), np.float64(6.0))",groupByColor_lifted >> negative_lifted >> tail,"groupByColor_lifted, negative_lifted, tail"
110,48f8583b.json,"(np.float64(2.0), np.float64(27.0), np.float64(6.0), np.float64(8.0))",negative_lifted >> splitH_lifted,"negative_lifted, splitH_lifted"
111,4aab4007.json,"(np.float64(10.0), np.float64(784.0), np.float64(0.0), np.float64(14.0))",splitH_lifted >> groupByColor_lifted >> intersect,"groupByColor_lifted, intersect, splitH_lifted"
112,4acc7107.json,"(np.float64(4.0), np.float64(75.0), np.float64(0.0), np.float64(0.0))",groupByColor_lifted >> intersect >> negative_lifted,"groupByColor_lifted, intersect, negative_lifted"
113,4b6b68e5.json,"(np.float64(3.0), np.float64(160.0), np.float64(0.0), np.float64(0.0))",negative_lifted,negative_lifted
114,4c177718.json,"(np.float64(2.0), np.float64(216.0), np.float64(0.0), np.float64(6.0))",groupByColor_lifted >> negative_lifted >> union,"groupByColor_lifted, negative_lifted, union"
115,4cd1b7b2.json,"(np.float64(5.0), np.float64(16.0), np.float64(0.0), np.float64(3.0))",splitH_lifted >> splitH_lifted >> intersect,"intersect, splitH_lifted"
116,4e45f183.json,"(np.float64(3.0), np.float64(361.0), np.float64(0.0), np.float64(0.0))",groupByColor_lifted >> negative_lifted >> intersect,"groupByColor_lifted, intersect, negative_lifted"
117,4e469f39.json,"(np.float64(1.0), np.float64(76.0), np.float64(0.0), np.float64(0.0))",negative_lifted,negative_lifted
118,4f537728.json,"(np.float64(1.0), np.float64(400.0), np.float64(0.0), np.float64(0.0))",negative_lifted,negative_lifted
119,4ff4c9da.json,"(np.float64(2.0), np.float64(289.0), np.float64(0.0), np.float64(0.0))",negative_lifted,negative_lifted
120,505fff84.json,"(np.float64(1.0), np.float64(50.0), np.float64(6.0), np.float64(5.0))",groupByColor_lifted >> tail >> union,"groupByColor_lifted, tail, union"
121,506d28a5.json,"(np.float64(2.0), np.float64(40.0), np.float64(0.0), np.float64(5.0))",groupByColor_lifted >> tail >> negative_lifted,"groupByColor_lifted, negative_lifted, tail"
122,50a16a69.json,"(np.float64(4.0), np.float64(81.0), np.float64(0.0), np.float64(7.0))",splitH_lifted >> splitH_lifted >> negative_lifted,"negative_lifted, splitH_lifted"
123,50aad11f.json,"(np.float64(1.0), np.float64(49.0), np.float64(6.0), np.float64(8.0))",reverse,reverse
124,50f325b5.json,"(np.float64(6.0), np.float64(306.0), np.float64(0.0), np.float64(0.0))",groupByColor_lifted >> negative_lifted >> intersect,"groupByColor_lifted, intersect, negative_lifted"
125,516b51b7.json,"(np.float64(2.0), np.float64(210.0), np.float64(0.0), np.float64(0.0))",negative_lifted,negative_lifted
126,5207a7b5.json,"(np.float64(2.0), np.float64(62.0), np.float64(0.0), np.float64(13.0))",splitH_lifted >> splitH_lifted >> splitH_lifted,splitH_lifted
127,5289ad53.json,"(np.float64(1.0), np.float64(189.0), np.float64(12.0), np.float64(11.0))",sortByWeight,sortByWeight
128,52fd389e.json,"(np.float64(2.0), np.float64(430.0), np.float64(0.0), np.float64(19.0))",negative_lifted >> splitH_lifted >> splitH_lifted,"negative_lifted, splitH_lifted"
129,54db823b.json,"(np.float64(3.0), np.float64(190.0), np.float64(0.0), np.float64(0.0))",groupByColor_lifted >> negative_lifted >> intersect,"groupByColor_lifted, intersect, negative_lifted"
130,55059096.json,"(np.float64(1.0), np.float64(154.0), np.float64(0.0), np.float64(0.0))",negative_lifted,negative_lifted
131,551d5bf1.json,"(np.float64(1.0), np.float64(497.0), np.float64(0.0), np.float64(0.0))",negative_lifted,negative_lifted
132,55783887.json,"(np.float64(4.0), np.float64(240.0), np.float64(0.0), np.float64(12.0))",splitH_lifted >> splitH_lifted >> negative_lifted,"negative_lifted, splitH_lifted"
133,575b1a71.json,"(np.float64(5.0), np.float64(97.0), np.float64(5.0), np.float64(6.0))",negative_lifted >> cropToContent_lifted >> splitH_lifted,"cropToContent_lifted, negative_lifted, splitH_lifted"
134,5783df64.json,"(np.float64(10.0), np.float64(9.0), np.float64(3.0), np.float64(2.0))",splitH_lifted >> splitH_lifted >> intersect,"intersect, splitH_lifted"
135,5833af48.json,"(np.float64(1.0), np.float64(87.0), np.float64(6.0), np.float64(9.0))",groupByColor_lifted >> tail >> union,"groupByColor_lifted, tail, union"
136,58743b76.json,"(np.float64(4.0), np.float64(144.0), np.float64(0.0), np.float64(0.0))",negative_lifted,negative_lifted
137,58e15b12.json,"(np.float64(4.0), np.float64(394.0), np.float64(0.0), np.float64(0.0))",groupByColor_lifted >> negative_lifted >> intersect,"groupByColor_lifted, intersect, negative_lifted"
138,59341089.json,"(np.float64(4.0), np.float64(36.0), np.float64(9.0), np.float64(2.0))",negative_lifted >> splitH_lifted,"negative_lifted, splitH_lifted"
139,5a5a2103.json,"(np.float64(4.0), np.float64(279.0), np.float64(0.0), np.float64(0.0))",negative_lifted,negative_lifted
140,5af49b42.json,"(np.float64(6.0), np.float64(159.0), np.float64(0.0), np.float64(0.0))",negative_lifted,negative_lifted
141,5b526a93.json,"(np.float64(1.0), np.float64(304.0), np.float64(0.0), np.float64(0.0))",negative_lifted,negative_lifted
142,5b692c0f.json,"(np.float64(3.0), np.float64(185.0), np.float64(0.0), np.float64(0.0))",groupByColor_lifted >> negative_lifted >> intersect,"groupByColor_lifted, intersect, negative_lifted"
143,5b6cbef5.json,"(np.float64(0.0), np.float64(106.0), np.float64(12.0), np.float64(12.0))",negative_lifted,negative_lifted
144,5d2a5c43.json,"(np.float64(2.0), np.float64(37.0), np.float64(5.0), np.float64(0.0))",groupByColor_lifted >> tail >> negative_lifted,"groupByColor_lifted, negative_lifted, tail"
145,5ffb2104.json,"(np.float64(9.0), np.float64(27.0), np.float64(0.0), np.float64(0.0))",groupByColor_lifted >> negative_lifted >> union,"groupByColor_lifted, negative_lifted, union"
146,604001fa.json,"(np.float64(3.0), np.float64(96.0), np.float64(0.0), np.float64(0.0))",groupByColor_lifted >> negative_lifted,"groupByColor_lifted, negative_lifted"
147,60a26a3e.json,"(np.float64(1.0), np.float64(168.0), np.float64(0.0), np.float64(0.0))",negative_lifted,negative_lifted
148,60c09cac.json,"(np.float64(4.0), np.float64(28.0), np.float64(4.0), np.float64(6.0))",splitH_lifted >> intersect >> negative_lifted,"intersect, negative_lifted, splitH_lifted"
149,626c0bcc.json,"(np.float64(5.0), np.float64(49.0), np.float64(0.0), np.float64(0.0))",negative_lifted,negative_lifted
150,62ab2642.json,"(np.float64(2.0), np.float64(91.0), np.float64(0.0), np.float64(5.0))",splitH_lifted >> negative_lifted,"negative_lifted, splitH_lifted"
151,62b74c02.json,"(np.float64(4.0), np.float64(42.0), np.float64(10.0), np.float64(0.0))",cropToContent_lifted >> negative_lifted,"cropToContent_lifted, negative_lifted"
152,639f5a19.json,"(np.float64(6.0), np.float64(529.0), np.float64(0.0), np.float64(0.0))",negative_lifted,negative_lifted
153,642248e4.json,"(np.float64(2.0), np.float64(114.0), np.float64(0.0), np.float64(0.0))",negative_lifted,negative_lifted
154,642d658d.json,"(np.float64(1.0), np.float64(431.0), np.float64(21.0), np.float64(19.0))",groupByColor_lifted >> negative_lifted >> reverse,"groupByColor_lifted, negative_lifted, reverse"
155,64a7c07e.json,"(np.float64(0.0), np.float64(112.0), np.float64(0.0), np.float64(0.0))",negative_lifted,negative_lifted
156,66e6c45b.json,"(np.float64(7.0), np.float64(12.0), np.float64(0.0), np.float64(0.0))",groupByColor_lifted >> negative_lifted >> union,"groupByColor_lifted, negative_lifted, union"
157,66f2d22f.json,"(np.float64(4.0), np.float64(48.0), np.float64(7.0), np.float64(0.0))",groupByColor_lifted >> negative_lifted >> union,"groupByColor_lifted, negative_lifted, union"
158,67636eac.json,"(np.float64(2.0), np.float64(50.0), np.float64(7.0), np.float64(0.0))",splitH_lifted >> intersect >> negative_lifted,"intersect, negative_lifted, splitH_lifted"
159,67b4a34d.json,"(np.float64(4.0), np.float64(240.0), np.float64(12.0), np.float64(12.0))",negative_lifted >> negative_lifted,negative_lifted
160,67c52801.json,"(np.float64(3.0), np.float64(96.0), np.float64(0.0), np.float64(1.0))",groupByColor_lifted >> negative_lifted >> cropToContent_lifted,"cropToContent_lifted, groupByColor_lifted, negative_lifted"
161,68b67ca3.json,"(np.float64(2.0), np.float64(16.0), np.float64(3.0), np.float64(0.0))",negative_lifted >> splitH_lifted,"negative_lifted, splitH_lifted"
162,692cd3b6.json,"(np.float64(1.0), np.float64(129.0), np.float64(12.0), np.float64(13.0))",splitH_lifted >> splitH_lifted >> cropToContent_lifted,"cropToContent_lifted, splitH_lifted"
163,695367ec.json,"(np.float64(3.0), np.float64(97.0), np.float64(11.0), np.float64(11.0))",negative_lifted >> negative_lifted,negative_lifted
164,696d4842.json,"(np.float64(5.0), np.float64(391.0), np.float64(0.0), np.float64(0.0))",groupByColor_lifted >> negative_lifted >> intersect,"groupByColor_lifted, intersect, negative_lifted"
165,69889d6e.json,"(np.float64(1.0), np.float64(84.0), np.float64(0.0), np.float64(0.0))",negative_lifted,negative_lifted
166,6a11f6da.json,"(np.float64(2.0), np.float64(67.0), np.float64(0.0), np.float64(10.0))",groupByColor_lifted >> negative_lifted,"groupByColor_lifted, negative_lifted"
167,6ad5bdfd.json,"(np.float64(5.0), np.float64(43.0), np.float64(1.0), np.float64(0.0))",cropToContent_lifted >> groupByColor_lifted >> negative_lifted,"cropToContent_lifted, groupByColor_lifted, negative_lifted"
168,6df30ad6.json,"(np.float64(2.0), np.float64(100.0), np.float64(0.0), np.float64(0.0))",groupByColor_lifted >> negative_lifted >> tail,"groupByColor_lifted, negative_lifted, tail"
169,6ea4a07e.json,"(np.float64(2.0), np.float64(9.0), np.float64(0.0), np.float64(0.0))",groupByColor_lifted,groupByColor_lifted
170,6f473927.json,"(np.float64(3.0), np.float64(10.0), np.float64(3.0), np.float64(2.0))",splitH_lifted >> intersect >> negative_lifted,"intersect, negative_lifted, splitH_lifted"
