Task Number,Task,Fitness Score,Program,Primitives
24,1a07d186.json,"(np.float64(0.0), np.float64(234.0), np.float64(0.0), np.float64(0.0))",groupByColor_lifted >> negative_lifted >> reverse,"groupByColor_lifted, negative_lifted, reverse"
25,1b2d62fb.json,"(np.float64(4.0), np.float64(33.0), np.float64(4.0), np.float64(0.0))",groupByColor_lifted >> negative_lifted >> union,"groupByColor_lifted, negative_lifted, union"
26,1b60fb0c.json,"(np.float64(1.0), np.float64(90.0), np.float64(0.0), np.float64(0.0))",negative_lifted,negative_lifted
27,1bfc4729.json,"(np.float64(1.0), np.float64(50.0), np.float64(8.0), np.float64(9.0))",splitH_lifted >> union >> cropToContent_lifted,"cropToContent_lifted, splitH_lifted, union"
28,1c786137.json,"(np.float64(2.0), np.float64(221.0), np.float64(8.0), np.float64(9.0))",groupByColor_lifted >> tail >> negative_lifted,"groupByColor_lifted, negative_lifted, tail"
29,1caeab9d.json,"(np.float64(8.0), np.float64(44.0), np.float64(0.0), np.float64(0.0))",groupByColor_lifted >> negative_lifted >> union,"groupByColor_lifted, negative_lifted, union"
30,1cf80156.json,"(np.float64(0.0), np.float64(128.0), np.float64(7.0), np.float64(9.0))",cropToContent_lifted,cropToContent_lifted
31,1e0a9b12.json,"(np.float64(5.0), np.float64(18.0), np.float64(0.0), np.float64(0.0))",groupByColor_lifted >> negative_lifted >> union,"groupByColor_lifted, negative_lifted, union"
32,1e32b0e9.json,"(np.float64(1.0), np.float64(263.0), np.float64(0.0), np.float64(0.0))",negative_lifted,negative_lifted
33,1f0c79e5.json,"(np.float64(2.0), np.float64(52.0), np.float64(0.0), np.float64(0.0))",groupByColor_lifted >> negative_lifted >> intersect,"groupByColor_lifted, intersect, negative_lifted"
34,1f642eb9.json,"(np.float64(7.0), np.float64(100.0), np.float64(0.0), np.float64(0.0))",groupByColor_lifted >> negative_lifted >> intersect,"groupByColor_lifted, intersect, negative_lifted"
35,1f85a75f.json,"(np.float64(1.0), np.float64(6.0), np.float64(27.0), np.float64(26.0))",groupByColor_lifted >> tail >> cropToContent_lifted,"cropToContent_lifted, groupByColor_lifted, tail"
36,1f876c06.json,"(np.float64(5.0), np.float64(89.0), np.float64(0.0), np.float64(0.0))",groupByColor_lifted >> negative_lifted >> intersect,"groupByColor_lifted, intersect, negative_lifted"
37,1fad071e.json,"(np.float64(0.0), np.float64(60.0), np.float64(4.0), np.float64(8.0))",groupByColor_lifted >> negative_lifted,"groupByColor_lifted, negative_lifted"
38,2013d3e2.json,"(np.float64(4.0), np.float64(29.0), np.float64(3.0), np.float64(3.0))",cropToContent_lifted >> groupByColor_lifted >> negative_lifted,"cropToContent_lifted, groupByColor_lifted, negative_lifted"
39,2204b7a8.json,"(np.float64(3.0), np.float64(100.0), np.float64(0.0), np.float64(0.0))",groupByColor_lifted >> negative_lifted >> intersect,"groupByColor_lifted, intersect, negative_lifted"
40,22168020.json,"(np.float64(3.0), np.float64(82.0), np.float64(0.0), np.float64(0.0))",groupByColor_lifted >> negative_lifted >> intersect,"groupByColor_lifted, intersect, negative_lifted"
41,22233c11.json,"(np.float64(1.0), np.float64(98.0), np.float64(0.0), np.float64(0.0))",negative_lifted,negative_lifted
42,2281f1f4.json,"(np.float64(1.0), np.float64(80.0), np.float64(0.0), np.float64(0.0))",negative_lifted,negative_lifted
43,228f6490.json,"(np.float64(3.0), np.float64(83.0), np.float64(0.0), np.float64(0.0))",groupByColor_lifted >> negative_lifted >> sortByWeight,"groupByColor_lifted, negative_lifted, sortByWeight"
44,22eb0ac0.json,"(np.float64(6.0), np.float64(100.0), np.float64(0.0), np.float64(0.0))",groupByColor_lifted >> negative_lifted >> intersect,"groupByColor_lifted, intersect, negative_lifted"
45,234bbc79.json,"(np.float64(6.0), np.float64(22.0), np.float64(3.0), np.float64(0.0))",groupByColor_lifted >> negative_lifted >> union,"groupByColor_lifted, negative_lifted, union"
46,23581191.json,"(np.float64(4.0), np.float64(51.0), np.float64(0.0), np.float64(0.0))",groupByColor_lifted >> negative_lifted >> intersect,"groupByColor_lifted, intersect, negative_lifted"
47,239be575.json,"(np.float64(1.0), np.float64(28.0), np.float64(5.0), np.float64(5.0))",groupByColor_lifted >> negative_lifted,"groupByColor_lifted, negative_lifted"
48,23b5c85d.json,"(np.float64(3.0), np.float64(92.0), np.float64(13.0), np.float64(16.0))",groupByColor_lifted >> cropToContent_lifted,"cropToContent_lifted, groupByColor_lifted"
49,253bf280.json,"(np.float64(1.0), np.float64(122.0), np.float64(0.0), np.float64(0.0))",negative_lifted,negative_lifted
50,25d487eb.json,"(np.float64(3.0), np.float64(170.0), np.float64(0.0), np.float64(0.0))",groupByColor_lifted >> negative_lifted >> intersect,"groupByColor_lifted, intersect, negative_lifted"
51,25d8a9c8.json,"(np.float64(3.0), np.float64(9.0), np.float64(0.0), np.float64(1.0))",groupByColor_lifted >> negative_lifted >> cropToContent_lifted,"cropToContent_lifted, groupByColor_lifted, negative_lifted"
52,25ff71a9.json,"(np.float64(4.0), np.float64(6.0), np.float64(0.0), np.float64(2.0))",splitH_lifted >> negative_lifted >> union,"negative_lifted, splitH_lifted, union"
53,264363fd.json,"(np.float64(6.0), np.float64(900.0), np.float64(0.0), np.float64(23.0))",splitH_lifted >> splitH_lifted >> negative_lifted,"negative_lifted, splitH_lifted"
54,272f95fa.json,"(np.float64(5.0), np.float64(120.0), np.float64(6.0), np.float64(9.0))",splitH_lifted >> splitH_lifted >> cropToContent_lifted,"cropToContent_lifted, splitH_lifted"
55,27a28665.json,"(np.float64(3.0), np.float64(2.0), np.float64(2.0), np.float64(0.0))",splitH_lifted,splitH_lifted
56,28bf18c6.json,"(np.float64(0.0), np.float64(54.0), np.float64(2.0), np.float64(5.0))",negative_lifted,negative_lifted
57,28e73c20.json,"(np.float64(1.0), np.float64(60.0), np.float64(0.0), np.float64(9.0))",splitH_lifted >> splitH_lifted >> splitH_lifted,splitH_lifted
58,29623171.json,"(np.float64(1.0), np.float64(112.0), np.float64(0.0), np.float64(0.0))",groupByColor_lifted >> negative_lifted >> tail,"groupByColor_lifted, negative_lifted, tail"
59,29c11459.json,"(np.float64(4.0), np.float64(46.0), np.float64(0.0), np.float64(0.0))",groupByColor_lifted >> negative_lifted >> intersect,"groupByColor_lifted, intersect, negative_lifted"
60,29ec7d0e.json,"(np.float64(8.0), np.float64(322.0), np.float64(0.0), np.float64(14.0))",splitH_lifted >> negative_lifted >> splitH_lifted,"negative_lifted, splitH_lifted"
61,2bcee788.json,"(np.float64(1.0), np.float64(99.0), np.float64(9.0), np.float64(9.0))",splitH_lifted >> cropToContent_lifted >> splitH_lifted,"cropToContent_lifted, splitH_lifted"
62,2bee17df.json,"(np.float64(2.0), np.float64(89.0), np.float64(0.0), np.float64(5.0))",negative_lifted >> splitH_lifted,"negative_lifted, splitH_lifted"
63,2c608aff.json,"(np.float64(4.0), np.float64(252.0), np.float64(0.0), np.float64(11.0))",splitH_lifted >> negative_lifted >> splitH_lifted,"negative_lifted, splitH_lifted"
64,2dc579da.json,"(np.float64(1.0), np.float64(96.0), np.float64(6.0), np.float64(6.0))",union,union
65,2dd70a9a.json,"(np.float64(4.0), np.float64(212.0), np.float64(0.0), np.float64(0.0))",groupByColor_lifted >> negative_lifted >> intersect,"groupByColor_lifted, intersect, negative_lifted"
66,2dee498d.json,"(np.float64(3.0), np.float64(7.0), np.float64(4.0), np.float64(0.0))",groupByColor_lifted >> negative_lifted,"groupByColor_lifted, negative_lifted"
67,31aa019c.json,"(np.float64(4.0), np.float64(91.0), np.float64(0.0), np.float64(0.0))",groupByColor_lifted >> intersect >> negative_lifted,"groupByColor_lifted, intersect, negative_lifted"
68,321b1fc6.json,"(np.float64(3.0), np.float64(100.0), np.float64(0.0), np.float64(0.0))",groupByColor_lifted >> negative_lifted >> sortByWeight,"groupByColor_lifted, negative_lifted, sortByWeight"
69,32597951.json,"(np.float64(2.0), np.float64(289.0), np.float64(0.0), np.float64(0.0))",negative_lifted,negative_lifted
70,3345333e.json,"(np.float64(2.0), np.float64(247.0), np.float64(0.0), np.float64(0.0))",negative_lifted,negative_lifted
71,3428a4f5.json,"(np.float64(5.0), np.float64(44.0), np.float64(0.0), np.float64(7.0))",groupByColor_lifted >> negative_lifted >> union,"groupByColor_lifted, negative_lifted, union"
72,3618c87e.json,"(np.float64(1.0), np.float64(25.0), np.float64(0.0), np.float64(0.0))",groupByColor_lifted >> reverse >> negative_lifted,"groupByColor_lifted, negative_lifted, reverse"
73,3631a71a.json,"(np.float64(9.0), np.float64(867.0), np.float64(0.0), np.float64(0.0))",negative_lifted,negative_lifted
74,363442ee.json,"(np.float64(5.0), np.float64(80.0), np.float64(1.0), np.float64(0.0))",cropToContent_lifted >> negative_lifted,"cropToContent_lifted, negative_lifted"
75,36d67576.json,"(np.float64(3.0), np.float64(163.0), np.float64(0.0), np.float64(0.0))",negative_lifted,negative_lifted
76,36fdfd69.json,"(np.float64(4.0), np.float64(210.0), np.float64(0.0), np.float64(0.0))",groupByColor_lifted >> negative_lifted >> intersect,"groupByColor_lifted, intersect, negative_lifted"
77,3906de3d.json,"(np.float64(1.0), np.float64(88.0), np.float64(0.0), np.float64(0.0))",groupByColor_lifted >> negative_lifted,"groupByColor_lifted, negative_lifted"
78,39a8645d.json,"(np.float64(0.0), np.float64(181.0), np.float64(11.0), np.float64(11.0))",groupByColor_lifted >> tail >> negative_lifted,"groupByColor_lifted, negative_lifted, tail"
79,39e1d7f9.json,"(np.float64(4.0), np.float64(630.0), np.float64(0.0), np.float64(0.0))",groupByColor_lifted >> negative_lifted >> intersect,"groupByColor_lifted, intersect, negative_lifted"
80,3aa6fb7a.json,"(np.float64(1.0), np.float64(46.0), np.float64(0.0), np.float64(0.0))",negative_lifted,negative_lifted
81,3ac3eb23.json,"(np.float64(0.0), np.float64(34.0), np.float64(0.0), np.float64(0.0))",negative_lifted,negative_lifted
82,3af2c5a8.json,"(np.float64(0.0), np.float64(30.0), np.float64(4.0), np.float64(3.0))",negative_lifted,negative_lifted
83,3bd67248.json,"(np.float64(2.0), np.float64(37.0), np.float64(0.0), np.float64(0.0))",negative_lifted,negative_lifted
84,3bdb4ada.json,"(np.float64(1.0), np.float64(151.0), np.float64(0.0), np.float64(0.0))",negative_lifted,negative_lifted
85,3befdf3e.json,"(np.float64(2.0), np.float64(60.0), np.float64(0.0), np.float64(8.0))",splitH_lifted >> negative_lifted >> splitH_lifted,"negative_lifted, splitH_lifted"
86,3c9b0459.json,"(np.float64(4.0), np.float64(9.0), np.float64(0.0), np.float64(2.0))",splitH_lifted >> negative_lifted,"negative_lifted, splitH_lifted"
87,3de23699.json,"(np.float64(0.0), np.float64(207.0), np.float64(10.0), np.float64(8.0))",groupByColor_lifted >> reverse >> negative_lifted,"groupByColor_lifted, negative_lifted, reverse"
88,3e980e27.json,"(np.float64(3.0), np.float64(155.0), np.float64(0.0), np.float64(0.0))",negative_lifted,negative_lifted
89,3eda0437.json,"(np.float64(1.0), np.float64(71.0), np.float64(0.0), np.float64(0.0))",negative_lifted,negative_lifted
90,3f7978a0.json,"(np.float64(1.0), np.float64(77.0), np.float64(4.0), np.float64(5.0))",cropToContent_lifted >> groupByColor_lifted >> negative_lifted,"cropToContent_lifted, groupByColor_lifted, negative_lifted"
91,40853293.json,"(np.float64(6.0), np.float64(181.0), np.float64(0.0), np.float64(0.0))",groupByColor_lifted >> negative_lifted >> intersect,"groupByColor_lifted, intersect, negative_lifted"
92,4093f84a.json,"(np.float64(0.0), np.float64(187.0), np.float64(0.0), np.float64(0.0))",groupByColor_lifted >> negative_lifted >> sortByWeight,"groupByColor_lifted, negative_lifted, sortByWeight"
93,41e4d17e.json,"(np.float64(4.0), np.float64(225.0), np.float64(0.0), np.float64(12.0))",splitH_lifted >> splitH_lifted >> negative_lifted,"negative_lifted, splitH_lifted"
94,4258a5f9.json,"(np.float64(1.0), np.float64(49.0), np.float64(0.0), np.float64(0.0))",negative_lifted,negative_lifted
95,4290ef0e.json,"(np.float64(7.0), np.float64(213.0), np.float64(7.0), np.float64(7.0))",groupByColor_lifted >> negative_lifted >> tail,"groupByColor_lifted, negative_lifted, tail"
96,42a50994.json,"(np.float64(0.0), np.float64(145.0), np.float64(0.0), np.float64(0.0))",negative_lifted,negative_lifted
97,4347f46a.json,"(np.float64(3.0), np.float64(112.0), np.float64(0.0), np.float64(0.0))",groupByColor_lifted >> negative_lifted >> intersect,"groupByColor_lifted, intersect, negative_lifted"
98,444801d8.json,"(np.float64(2.0), np.float64(81.0), np.float64(0.0), np.float64(0.0))",negative_lifted,negative_lifted
99,445eab21.json,"(np.float64(1.0), np.float64(78.0), np.float64(8.0), np.float64(8.0))",groupByColor_lifted >> reverse >> negative_lifted,"groupByColor_lifted, negative_lifted, reverse"
100,447fd412.json,"(np.float64(1.0), np.float64(147.0), np.float64(0.0), np.float64(0.0))",negative_lifted,negative_lifted
101,44d8ac46.json,"(np.float64(0.0), np.float64(144.0), np.float64(0.0), np.float64(0.0))",negative_lifted,negative_lifted
102,44f52bb0.json,"(np.float64(3.0), np.float64(2.0), np.float64(2.0), np.float64(0.0))",negative_lifted >> splitH_lifted,"negative_lifted, splitH_lifted"
103,4522001f.json,"(np.float64(3.0), np.float64(35.0), np.float64(6.0), np.float64(8.0))",splitH_lifted >> negative_lifted,"negative_lifted, splitH_lifted"
104,4612dd53.json,"(np.float64(1.0), np.float64(157.0), np.float64(0.0), np.float64(0.0))",negative_lifted,negative_lifted
105,46442a0e.json,"(np.float64(4.0), np.float64(36.0), np.float64(3.0), np.float64(5.0))",negative_lifted >> splitH_lifted,"negative_lifted, splitH_lifted"
106,469497ad.json,"(np.float64(10.0), np.float64(239.0), np.float64(15.0), np.float64(15.0))",groupByColor_lifted >> negative_lifted >> union,"groupByColor_lifted, negative_lifted, union"
107,46f33fce.json,"(np.float64(5.0), np.float64(116.0), np.float64(10.0), np.float64(10.0))",groupByColor_lifted >> negative_lifted >> union,"groupByColor_lifted, negative_lifted, union"
108,47c1f68c.json,"(np.float64(2.0), np.float64(37.0), np.float64(1.0), np.float64(1.0))",groupByColor_lifted >> negative_lifted,"groupByColor_lifted, negative_lifted"
109,484b58aa.json,"(np.float64(6.0), np.float64(841.0), np.float64(0.0), np.float64(15.0))",negative_lifted >> splitH_lifted >> intersect,"intersect, negative_lifted, splitH_lifted"
110,48d8fb45.json,"(np.float64(0.0), np.float64(85.0), np.float64(7.0), np.float64(7.0))",groupByColor_lifted >> groupByColor_lifted >> negative_lifted,"groupByColor_lifted, negative_lifted"
111,4938f0c2.json,"(np.float64(3.0), np.float64(168.0), np.float64(0.0), np.float64(0.0))",groupByColor_lifted >> negative_lifted >> intersect,"groupByColor_lifted, intersect, negative_lifted"
112,496994bd.json,"(np.float64(2.0), np.float64(40.0), np.float64(0.0), np.float64(2.0))",negative_lifted >> cropToContent_lifted,"cropToContent_lifted, negative_lifted"
113,49d1d64f.json,"(np.float64(5.0), np.float64(20.0), np.float64(2.0), np.float64(4.0))",splitH_lifted >> negative_lifted,"negative_lifted, splitH_lifted"
114,4be741c5.json,"(np.float64(5.0), np.float64(95.0), np.float64(8.0), np.float64(7.0))",negative_lifted >> negative_lifted,negative_lifted
115,4c4377d9.json,"(np.float64(3.0), np.float64(24.0), np.float64(0.0), np.float64(5.0))",negative_lifted >> splitH_lifted,"negative_lifted, splitH_lifted"
116,4c5c2cf0.json,"(np.float64(1.0), np.float64(129.0), np.float64(0.0), np.float64(0.0))",negative_lifted,negative_lifted
117,50846271.json,"(np.float64(4.0), np.float64(132.0), np.float64(0.0), np.float64(0.0))",groupByColor_lifted >> negative_lifted >> intersect,"groupByColor_lifted, intersect, negative_lifted"
118,508bd3b6.json,"(np.float64(4.0), np.float64(135.0), np.float64(0.0), np.float64(0.0))",groupByColor_lifted >> negative_lifted >> intersect,"groupByColor_lifted, intersect, negative_lifted"
119,50cb2852.json,"(np.float64(3.0), np.float64(156.0), np.float64(0.0), np.float64(0.0))",negative_lifted,negative_lifted
120,5117e062.json,"(np.float64(0.0), np.float64(160.0), np.float64(10.0), np.float64(10.0))",groupByColor_lifted >> tail >> negative_lifted,"groupByColor_lifted, negative_lifted, tail"
121,5168d44c.json,"(np.float64(3.0), np.float64(39.0), np.float64(0.0), np.float64(0.0))",groupByColor_lifted >> negative_lifted >> intersect,"groupByColor_lifted, intersect, negative_lifted"
122,539a4f51.json,"(np.float64(6.0), np.float64(100.0), np.float64(5.0), np.float64(9.0))",splitH_lifted >> negative_lifted >> splitH_lifted,"negative_lifted, splitH_lifted"
123,53b68214.json,"(np.float64(0.0), np.float64(83.0), np.float64(0.0), np.float64(2.0))",negative_lifted,negative_lifted
124,543a7ed5.json,"(np.float64(5.0), np.float64(225.0), np.float64(0.0), np.float64(12.0))",negative_lifted >> splitH_lifted >> splitH_lifted,"negative_lifted, splitH_lifted"
125,54d82841.json,"(np.float64(4.0), np.float64(33.0), np.float64(0.0), np.float64(0.0))",groupByColor_lifted >> negative_lifted >> intersect,"groupByColor_lifted, intersect, negative_lifted"
126,54d9e175.json,"(np.float64(6.0), np.float64(77.0), np.float64(0.0), np.float64(6.0))",groupByColor_lifted >> splitH_lifted >> splitH_lifted,"groupByColor_lifted, splitH_lifted"
127,5521c0d9.json,"(np.float64(8.0), np.float64(211.0), np.float64(0.0), np.float64(0.0))",groupByColor_lifted >> negative_lifted >> union,"groupByColor_lifted, negative_lifted, union"
128,5582e5ca.json,"(np.float64(3.0), np.float64(8.0), np.float64(0.0), np.float64(2.0))",splitH_lifted >> groupByColor_lifted,"groupByColor_lifted, splitH_lifted"
129,5614dbcf.json,"(np.float64(1.0), np.float64(71.0), np.float64(6.0), np.float64(6.0))",groupByColor_lifted >> negative_lifted >> reverse,"groupByColor_lifted, negative_lifted, reverse"
130,56dc2b01.json,"(np.float64(2.0), np.float64(71.0), np.float64(0.0), np.float64(0.0))",groupByColor_lifted >> negative_lifted,"groupByColor_lifted, negative_lifted"
131,56ff96f3.json,"(np.float64(0.0), np.float64(47.0), np.float64(0.0), np.float64(0.0))",negative_lifted,negative_lifted
132,57aa92db.json,"(np.float64(5.0), np.float64(255.0), np.float64(0.0), np.float64(0.0))",groupByColor_lifted >> negative_lifted >> intersect,"groupByColor_lifted, intersect, negative_lifted"
133,5ad4f10b.json,"(np.float64(0.0), np.float64(534.0), np.float64(20.0), np.float64(21.0))",groupByColor_lifted >> negative_lifted,"groupByColor_lifted, negative_lifted"
134,5bd6f4ac.json,"(np.float64(3.0), np.float64(31.0), np.float64(6.0), np.float64(1.0))",splitH_lifted >> groupByColor_lifted >> negative_lifted,"groupByColor_lifted, negative_lifted, splitH_lifted"
135,5c0a986e.json,"(np.float64(1.0), np.float64(94.0), np.float64(0.0), np.float64(0.0))",negative_lifted,negative_lifted
136,5c2c9af4.json,"(np.float64(0.0), np.float64(394.0), np.float64(0.0), np.float64(0.0))",negative_lifted,negative_lifted
137,5daaa586.json,"(np.float64(1.0), np.float64(90.0), np.float64(6.0), np.float64(8.0))",groupByColor_lifted >> tail >> union,"groupByColor_lifted, tail, union"
138,60b61512.json,"(np.float64(1.0), np.float64(76.0), np.float64(0.0), np.float64(0.0))",negative_lifted,negative_lifted
139,6150a2bd.json,"(np.float64(3.0), np.float64(7.0), np.float64(0.0), np.float64(2.0))",negative_lifted >> negative_lifted >> splitH_lifted,"negative_lifted, splitH_lifted"
140,623ea044.json,"(np.float64(0.0), np.float64(39.0), np.float64(0.0), np.float64(0.0))",negative_lifted,negative_lifted
141,62c24649.json,"(np.float64(2.0), np.float64(24.0), np.float64(3.0), np.float64(3.0))",negative_lifted,negative_lifted
142,63613498.json,"(np.float64(5.0), np.float64(100.0), np.float64(0.0), np.float64(0.0))",groupByColor_lifted >> negative_lifted >> intersect,"groupByColor_lifted, intersect, negative_lifted"
143,6430c8c4.json,"(np.float64(4.0), np.float64(31.0), np.float64(0.0), np.float64(5.0))",groupByColor_lifted >> negative_lifted >> union,"groupByColor_lifted, negative_lifted, union"
144,6455b5f5.json,"(np.float64(2.0), np.float64(181.0), np.float64(0.0), np.float64(8.0))",negative_lifted >> splitH_lifted,"negative_lifted, splitH_lifted"
145,662c240a.json,"(np.float64(2.0), np.float64(21.0), np.float64(0.0), np.float64(6.0))",groupByColor_lifted >> negative_lifted >> reverse,"groupByColor_lifted, negative_lifted, reverse"
146,67385a82.json,"(np.float64(1.0), np.float64(30.0), np.float64(0.0), np.float64(0.0))",negative_lifted,negative_lifted
147,673ef223.json,"(np.float64(4.0), np.float64(161.0), np.float64(0.0), np.float64(0.0))",groupByColor_lifted >> negative_lifted >> intersect,"groupByColor_lifted, intersect, negative_lifted"
148,6773b310.json,"(np.float64(0.0), np.float64(68.0), np.float64(8.0), np.float64(8.0))",groupByColor_lifted >> negative_lifted >> intersect,"groupByColor_lifted, intersect, negative_lifted"
149,67a3c6ac.json,"(np.float64(5.0), np.float64(36.0), np.float64(0.0), np.float64(5.0))",splitH_lifted >> splitH_lifted >> negative_lifted,"negative_lifted, splitH_lifted"
150,67a423a3.json,"(np.float64(2.0), np.float64(32.0), np.float64(0.0), np.float64(0.0))",negative_lifted,negative_lifted
151,67e8384a.json,"(np.float64(5.0), np.float64(36.0), np.float64(3.0), np.float64(5.0))",splitH_lifted >> negative_lifted,"negative_lifted, splitH_lifted"
152,681b3aeb.json,"(np.float64(0.0), np.float64(91.0), np.float64(7.0), np.float64(7.0))",groupByColor_lifted >> negative_lifted >> union,"groupByColor_lifted, negative_lifted, union"
153,6855a6e4.json,"(np.float64(1.0), np.float64(217.0), np.float64(0.0), np.float64(0.0))",groupByColor_lifted >> negative_lifted,"groupByColor_lifted, negative_lifted"
154,68b16354.json,"(np.float64(7.0), np.float64(49.0), np.float64(0.0), np.float64(6.0))",negative_lifted >> splitH_lifted >> splitH_lifted,"negative_lifted, splitH_lifted"
155,694f12f3.json,"(np.float64(2.0), np.float64(100.0), np.float64(0.0), np.float64(0.0))",negative_lifted,negative_lifted
156,6a1e5592.json,"(np.float64(1.0), np.float64(128.0), np.float64(0.0), np.float64(0.0))",groupByColor_lifted >> negative_lifted,"groupByColor_lifted, negative_lifted"
157,6aa20dc0.json,"(np.float64(5.0), np.float64(462.0), np.float64(0.0), np.float64(16.0))",groupByColor_lifted >> splitH_lifted >> splitH_lifted,"groupByColor_lifted, splitH_lifted"
158,6b9890af.json,"(np.float64(1.0), np.float64(193.0), np.float64(3.0), np.float64(6.0))",cropToContent_lifted >> groupByColor_lifted >> negative_lifted,"cropToContent_lifted, groupByColor_lifted, negative_lifted"
159,6c434453.json,"(np.float64(1.0), np.float64(90.0), np.float64(0.0), np.float64(0.0))",negative_lifted,negative_lifted
160,6cdd2623.json,"(np.float64(5.0), np.float64(224.0), np.float64(0.0), np.float64(0.0))",groupByColor_lifted >> negative_lifted >> union,"groupByColor_lifted, negative_lifted, union"
161,6cf79266.json,"(np.float64(1.0), np.float64(382.0), np.float64(0.0), np.float64(0.0))",negative_lifted,negative_lifted
162,6d0160f0.json,"(np.float64(3.0), np.float64(118.0), np.float64(0.0), np.float64(0.0))",groupByColor_lifted >> negative_lifted >> sortByWeight,"groupByColor_lifted, negative_lifted, sortByWeight"
163,6d0aefbc.json,"(np.float64(3.0), np.float64(18.0), np.float64(3.0), np.float64(2.0))",splitH_lifted >> negative_lifted,"negative_lifted, splitH_lifted"
164,6d58a25d.json,"(np.float64(3.0), np.float64(364.0), np.float64(0.0), np.float64(0.0))",groupByColor_lifted >> negative_lifted >> intersect,"groupByColor_lifted, intersect, negative_lifted"
165,6d75e8bb.json,"(np.float64(1.0), np.float64(61.0), np.float64(0.0), np.float64(0.0))",negative_lifted,negative_lifted
166,6e02f1e3.json,"(np.float64(4.0), np.float64(6.0), np.float64(0.0), np.float64(0.0))",sortByWeight,sortByWeight
167,6e19193c.json,"(np.float64(0.0), np.float64(92.0), np.float64(0.0), np.float64(0.0))",negative_lifted,negative_lifted
